"days.since.exposed","fever","meanIncubate","outcome","yymin","yymax"
0,"50% symptomatic","Mean incubation 4.5d","detected: departure fever screen",0,0
0,"50% symptomatic","Mean incubation 4.5d","detected: departure risk screen",0,0
0,"50% symptomatic","Mean incubation 4.5d","detected: arrival fever screen",0,0.00452093136322157
0,"50% symptomatic","Mean incubation 4.5d","detected: arrival risk screen",0.00452093136322157,0.0542948847950605
0,"50% symptomatic","Mean incubation 4.5d","missed: had both",0.0542948847950605,0.0545855160969819
0,"50% symptomatic","Mean incubation 4.5d","missed: had fever",0.0545855160969819,0.0561355497072293
0,"50% symptomatic","Mean incubation 4.5d","missed: had risk awareness",0.0561355497072293,0.205166778700825
0,"50% symptomatic","Mean incubation 4.5d","missed: undetectable",0.205166778700825,1
0.1,"50% symptomatic","Mean incubation 4.5d","detected: departure fever screen",0,0
0.1,"50% symptomatic","Mean incubation 4.5d","detected: departure risk screen",0,0
0.1,"50% symptomatic","Mean incubation 4.5d","detected: arrival fever screen",0,0.0061795313771637
0.1,"50% symptomatic","Mean incubation 4.5d","detected: arrival risk screen",0.0061795313771637,0.0558705548083055
0.1,"50% symptomatic","Mean incubation 4.5d","missed: had both",0.0558705548083055,0.0562678103968375
0.1,"50% symptomatic","Mean incubation 4.5d","missed: had fever",0.0562678103968375,0.0583865068690079
0.1,"50% symptomatic","Mean incubation 4.5d","missed: had risk awareness",0.0583865068690079,0.207062321573901
0.1,"50% symptomatic","Mean incubation 4.5d","missed: undetectable",0.207062321573901,1
0.2,"50% symptomatic","Mean incubation 4.5d","detected: departure fever screen",0,0
0.2,"50% symptomatic","Mean incubation 4.5d","detected: departure risk screen",0,0
0.2,"50% symptomatic","Mean incubation 4.5d","detected: arrival fever screen",0,0.00817286268628514
0.2,"50% symptomatic","Mean incubation 4.5d","detected: arrival risk screen",0.00817286268628514,0.0577642195519709
0.2,"50% symptomatic","Mean incubation 4.5d","missed: had both",0.0577642195519709,0.0582896178675178
0.2,"50% symptomatic","Mean incubation 4.5d","missed: had fever",0.0582896178675178,0.0610917422171013
0.2,"50% symptomatic","Mean incubation 4.5d","missed: had risk awareness",0.0610917422171013,0.209340414498612
0.2,"50% symptomatic","Mean incubation 4.5d","missed: undetectable",0.209340414498612,1
0.3,"50% symptomatic","Mean incubation 4.5d","detected: departure fever screen",0,0
0.3,"50% symptomatic","Mean incubation 4.5d","detected: departure risk screen",0,0
0.3,"50% symptomatic","Mean incubation 4.5d","detected: arrival fever screen",0,0.0105146805249023
0.3,"50% symptomatic","Mean incubation 4.5d","detected: arrival risk screen",0.0105146805249023,0.0599889464986572
0.3,"50% symptomatic","Mean incubation 4.5d","missed: had both",0.0599889464986572,0.0606648902466867
0.3,"50% symptomatic","Mean incubation 4.5d","missed: had fever",0.0606648902466867,0.0642699235695103
0.3,"50% symptomatic","Mean incubation 4.5d","missed: had risk awareness",0.0642699235695103,0.212016777742746
0.3,"50% symptomatic","Mean incubation 4.5d","missed: undetectable",0.212016777742746,1
0.4,"50% symptomatic","Mean incubation 4.5d","detected: departure fever screen",0,0
0.4,"50% symptomatic","Mean incubation 4.5d","detected: departure risk screen",0,0
0.4,"50% symptomatic","Mean incubation 4.5d","detected: arrival fever screen",0,0.0132135289256228
0.4,"50% symptomatic","Mean incubation 4.5d","detected: arrival risk screen",0.0132135289256228,0.0625528524793416
0.4,"50% symptomatic","Mean incubation 4.5d","missed: had both",0.0625528524793416,0.0634022936245602
0.4,"50% symptomatic","Mean incubation 4.5d","missed: had fever",0.0634022936245602,0.0679326463990595
0.4,"50% symptomatic","Mean incubation 4.5d","missed: had risk awareness",0.0679326463990595,0.215101175914998
0.4,"50% symptomatic","Mean incubation 4.5d","missed: undetectable",0.215101175914998,1
0.5,"50% symptomatic","Mean incubation 4.5d","detected: departure fever screen",0,0
0.5,"50% symptomatic","Mean incubation 4.5d","detected: departure risk screen",0,0
0.5,"50% symptomatic","Mean incubation 4.5d","detected: arrival fever screen",0,0.0162730060028669
0.5,"50% symptomatic","Mean incubation 4.5d","detected: arrival risk screen",0.0162730060028669,0.0654593557027236
0.5,"50% symptomatic","Mean incubation 4.5d","missed: had both",0.0654593557027236,0.0665054775171936
0.5,"50% symptomatic","Mean incubation 4.5d","missed: had fever",0.0665054775171936,0.0720847938610337
0.5,"50% symptomatic","Mean incubation 4.5d","missed: had risk awareness",0.0720847938610337,0.218597721146134
0.5,"50% symptomatic","Mean incubation 4.5d","missed: undetectable",0.218597721146134,1
0.6,"50% symptomatic","Mean incubation 4.5d","detected: departure fever screen",0,0
0.6,"50% symptomatic","Mean incubation 4.5d","detected: departure risk screen",0,0
0.6,"50% symptomatic","Mean incubation 4.5d","detected: arrival fever screen",0,0.0196921138008569
0.6,"50% symptomatic","Mean incubation 4.5d","detected: arrival risk screen",0.0196921138008569,0.0687075081108141
0.6,"50% symptomatic","Mean incubation 4.5d","missed: had both",0.0687075081108141,0.0699734297122978
0.6,"50% symptomatic","Mean incubation 4.5d","missed: had fever",0.0699734297122978,0.0767250115868773
0.6,"50% symptomatic","Mean incubation 4.5d","missed: had risk awareness",0.0767250115868773,0.222505272915265
0.6,"50% symptomatic","Mean incubation 4.5d","missed: undetectable",0.222505272915265,1
0.7,"50% symptomatic","Mean incubation 4.5d","detected: departure fever screen",0,0
0.7,"50% symptomatic","Mean incubation 4.5d","detected: departure risk screen",0,0
0.7,"50% symptomatic","Mean incubation 4.5d","detected: arrival fever screen",0,0.0234656645273364
0.7,"50% symptomatic","Mean incubation 4.5d","detected: arrival risk screen",0.0234656645273364,0.0722923813009696
0.7,"50% symptomatic","Mean incubation 4.5d","missed: had both",0.0722923813009696,0.0738008883062984
0.7,"50% symptomatic","Mean incubation 4.5d","missed: had fever",0.0738008883062984,0.0818462590013852
0.7,"50% symptomatic","Mean incubation 4.5d","missed: had risk awareness",0.0818462590013852,0.226817902316956
0.7,"50% symptomatic","Mean incubation 4.5d","missed: undetectable",0.226817902316956,1
0.8,"50% symptomatic","Mean incubation 4.5d","detected: departure fever screen",0,0
0.8,"50% symptomatic","Mean incubation 4.5d","detected: departure risk screen",0,0
0.8,"50% symptomatic","Mean incubation 4.5d","detected: arrival fever screen",0,0.0275847205304016
0.8,"50% symptomatic","Mean incubation 4.5d","detected: arrival risk screen",0.0275847205304016,0.0762054845038815
0.8,"50% symptomatic","Mean incubation 4.5d","missed: had both",0.0762054845038815,0.0779787879665502
0.8,"50% symptomatic","Mean incubation 4.5d","missed: had fever",0.0779787879665502,0.0874364064341165
0.8,"50% symptomatic","Mean incubation 4.5d","missed: had risk awareness",0.0874364064341165,0.231525394891888
0.8,"50% symptomatic","Mean incubation 4.5d","missed: undetectable",0.231525394891888,1
0.9,"50% symptomatic","Mean incubation 4.5d","detected: departure fever screen",0,0
0.9,"50% symptomatic","Mean incubation 4.5d","detected: departure risk screen",0,0
0.9,"50% symptomatic","Mean incubation 4.5d","detected: arrival fever screen",0,0.0320370500295559
0.9,"50% symptomatic","Mean incubation 4.5d","detected: arrival risk screen",0.0320370500295559,0.0804351975280782
0.9,"50% symptomatic","Mean incubation 4.5d","missed: had both",0.0804351975280782,0.0824947221728353
0.9,"50% symptomatic","Mean incubation 4.5d","missed: had fever",0.0824947221728353,0.0934788536115402
0.9,"50% symptomatic","Mean incubation 4.5d","missed: had risk awareness",0.0934788536115402,0.23661377146235
0.9,"50% symptomatic","Mean incubation 4.5d","missed: undetectable",0.23661377146235,1
1,"50% symptomatic","Mean incubation 4.5d","detected: departure fever screen",0,0
1,"50% symptomatic","Mean incubation 4.5d","detected: departure risk screen",0,0
1,"50% symptomatic","Mean incubation 4.5d","detected: arrival fever screen",0,0.036807584508279
1,"50% symptomatic","Mean incubation 4.5d","detected: arrival risk screen",0.036807584508279,0.0849672052828651
1,"50% symptomatic","Mean incubation 4.5d","missed: had both",0.0849672052828651,0.0873334071441116
1,"50% symptomatic","Mean incubation 4.5d","missed: had fever",0.0873334071441116,0.099953150404093
1,"50% symptomatic","Mean incubation 4.5d","missed: had risk awareness",0.099953150404093,0.242065810866605
1,"50% symptomatic","Mean incubation 4.5d","missed: undetectable",0.242065810866605,1
1.1,"50% symptomatic","Mean incubation 4.5d","detected: departure fever screen",0,0
1.1,"50% symptomatic","Mean incubation 4.5d","detected: departure risk screen",0,0
1.1,"50% symptomatic","Mean incubation 4.5d","detected: arrival fever screen",0,0.0418788669225423
1.1,"50% symptomatic","Mean incubation 4.5d","detected: arrival risk screen",0.0418788669225423,0.0897849235764152
1.1,"50% symptomatic","Mean incubation 4.5d","missed: had both",0.0897849235764152,0.0924771364500072
1.1,"50% symptomatic","Mean incubation 4.5d","missed: had fever",0.0924771364500072,0.106835605109165
1.1,"50% symptomatic","Mean incubation 4.5d","missed: had risk awareness",0.106835605109165,0.247861562197191
1.1,"50% symptomatic","Mean incubation 4.5d","missed: undetectable",0.247861562197191,1
1.2,"50% symptomatic","Mean incubation 4.5d","detected: departure fever screen",0,0
1.2,"50% symptomatic","Mean incubation 4.5d","detected: departure risk screen",0,0
1.2,"50% symptomatic","Mean incubation 4.5d","detected: arrival fever screen",0,0.0472314825720103
1.2,"50% symptomatic","Mean incubation 4.5d","detected: arrival risk screen",0.0472314825720103,0.0948699084434098
1.2,"50% symptomatic","Mean incubation 4.5d","missed: had both",0.0948699084434098,0.0979062180373247
1.2,"50% symptomatic","Mean incubation 4.5d","missed: had fever",0.0979062180373247,0.114099869204871
1.2,"50% symptomatic","Mean incubation 4.5d","missed: had risk awareness",0.114099869204871,0.253978837225155
1.2,"50% symptomatic","Mean incubation 4.5d","missed: undetectable",0.253978837225155,1
1.3,"50% symptomatic","Mean incubation 4.5d","detected: departure fever screen",0,0
1.3,"50% symptomatic","Mean incubation 4.5d","detected: departure risk screen",0,0
1.3,"50% symptomatic","Mean incubation 4.5d","detected: arrival fever screen",0,0.0528444666998251
1.3,"50% symptomatic","Mean incubation 4.5d","detected: arrival risk screen",0.0528444666998251,0.100202243364834
1.3,"50% symptomatic","Mean incubation 4.5d","missed: had both",0.100202243364834,0.10359938765268
1.3,"50% symptomatic","Mean incubation 4.5d","missed: had fever",0.10359938765268,0.121717490521191
1.3,"50% symptomatic","Mean incubation 4.5d","missed: had risk awareness",0.121717490521191,0.260393676228372
1.3,"50% symptomatic","Mean incubation 4.5d","missed: undetectable",0.260393676228372,1
1.4,"50% symptomatic","Mean incubation 4.5d","detected: departure fever screen",0,0
1.4,"50% symptomatic","Mean incubation 4.5d","detected: departure risk screen",0,0
1.4,"50% symptomatic","Mean incubation 4.5d","detected: arrival fever screen",0,0.0586956847035959
1.4,"50% symptomatic","Mean incubation 4.5d","detected: arrival risk screen",0.0586956847035959,0.105760900468416
1.4,"50% symptomatic","Mean incubation 4.5d","missed: had both",0.105760900468416,0.109534194485076
1.4,"50% symptomatic","Mean incubation 4.5d","missed: had fever",0.109534194485076,0.129658429240594
