"days.since.exposed","fever","meanIncubate","outcome","yymin","yymax"
0,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0
0,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0,0.05
0,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.05,0.0542948847950605
0,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0542948847950605,0.0916253498689397
0,"50% subclinical","Mean incubation 4.5d","missed: had both",0.0916253498689397,0.0918433233453807
0,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.0918433233453807,0.0933933569556281
0,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.0933933569556281,0.205166778700825
0,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.205166778700825,1
0.1,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,8.48026718169107e-07
0.1,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",8.48026718169107e-07,0.0500008056253823
0.1,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0500008056253823,0.0558707964959202
0.1,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0558707964959202,0.093139054528976
0.1,"50% subclinical","Mean incubation 4.5d","missed: had both",0.093139054528976,0.0934369675994732
0.1,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.0934369675994732,0.0955554605452313
0.1,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.0955554605452313,0.207062321573901
0.1,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.207062321573901,1
0.2,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,1.2641111107242e-05
0.2,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",1.2641111107242e-05,0.0500120090555519
0.2,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0500120090555519,0.0577678222686364
0.2,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0577678222686364,0.0949611977054008
0.2,"50% subclinical","Mean incubation 4.5d","missed: had both",0.0949611977054008,0.0953548198045611
0.2,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.0953548198045611,0.0981539102874788
0.2,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.0981539102874788,0.209340414498612
0.2,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.209340414498612,1
0.3,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,5.96348782274944e-05
0.3,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",5.96348782274944e-05,0.0500566531343161
0.3,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0500566531343161,0.0600059424389521
0.3,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0600059424389521,0.0971109710268882
0.3,"50% subclinical","Mean incubation 4.5d","missed: had both",0.0971109710268882,0.0976159161607701
0.3,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.0976159161607701,0.101206637112819
0.3,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.101206637112819,0.212016777742746
0.3,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.212016777742746,1
0.4,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.000175671408427575
0.4,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.000175671408427575,0.0501668878380062
0.4,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0501668878380062,0.0626029188307435
0.4,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0626029188307435,0.0996054351926878
0.4,"50% subclinical","Mean incubation 4.5d","missed: had both",0.0996054351926878,0.100236587141567
0.4,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.100236587141567,0.104724778778044
0.4,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.104724778778044,0.215101175914997
0.4,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.215101175914997,1
0.5,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.000399838050617585
0.5,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.000399838050617585,0.0503798461480867
0.5,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0503798461480867,0.0655733095471496
0.5,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0655733095471496,0.102458573643973
0.5,"50% subclinical","Mean incubation 4.5d","missed: had both",0.102458573643973,0.103229670470617
0.5,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.103229670470617,0.108713025682309
0.5,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.108713025682309,0.218597721146134
0.5,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.218597721146134,1
0.6,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.000773126798638021
0.6,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.000773126798638021,0.0507344704587061
0.6,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0507344704587061,0.0689278492484259
0.6,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0689278492484259,0.105680697304409
0.6,"50% subclinical","Mean incubation 4.5d","missed: had both",0.105680697304409,0.106604045476068
0.6,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.106604045476068,0.113170076918974
0.6,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.113170076918974,0.222505272915265
0.6,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.222505272915265,1
0.7,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.00133591738993563
0.7,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.00133591738993563,0.0512691215204389
0.7,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0512691215204389,0.0726731177571013
0.7,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0726731177571013,0.109278126266689
0.7,"50% subclinical","Mean incubation 4.5d","missed: had both",0.109278126266689,0.110364419308776
0.7,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.110364419308776,0.118089169830278
0.7,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.118089169830278,0.226817902316956
0.7,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.226817902316956,1
0.8,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.00212613420300682
0.8,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.00212613420300682,0.0520198274928565
0.8,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0520198274928565,0.0768114327517385
0.8,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0768114327517385,0.113253086722065
0.8,"50% subclinical","Mean incubation 4.5d","missed: had both",0.113253086722065,0.114511307289715
0.8,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.114511307289715,0.123458653548559
0.8,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.123458653548559,0.231525394891888
0.8,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.231525394891888,1
0.9,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.0031779502300539
0.9,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.0031779502300539,0.0530190527185512
0.9,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0530190527185512,0.0813409133436435
0.9,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0813409133436435,0.117603772027447
0.9,"50% subclinical","Mean incubation 4.5d","missed: had both",0.117603772027447,0.119041159690751
0.9,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.119041159690751,0.129262583074243
0.9,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.129262583074243,0.23661377146235
0.9,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.23661377146235,1
1,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.00452093136322157
1,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.00452093136322157,0.0542948847950605
1,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0542948847950605,0.0862556707213833
1,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0862556707213833,0.122324525824487
1,"50% subclinical","Mean incubation 4.5d","missed: had both",0.122324525824487,0.123946595786913
1,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.123946595786913,0.135481315519721
1,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.135481315519721,0.242065810866605
1,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.242065810866605,1
1.1,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.0061795313771637
1.1,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.0061795313771637,0.0558705548083055
1.1,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0558705548083055,0.0915460900189069
1.1,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.0915460900189069,0.127406112781318
1.1,"50% subclinical","Mean incubation 4.5d","missed: had both",0.127406112781318,0.129216713252533
1.1,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.129216713252533,0.142092094381171
1.1,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.142092094381171,0.247861562197191
1.1,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.247861562197191,1
1.2,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.00817286268628514
1.2,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.00817286268628514,0.0577642195519709
1.2,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0577642195519709,0.097199174309001
1.2,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.097199174309001,0.13283604900733
1.2,"50% subclinical","Mean incubation 4.5d","missed: had both",0.13283604900733,0.134837447087104
1.2,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.134837447087104,0.149069611209942
1.2,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.149069611209942,0.253978837225155
1.2,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.253978837225155,1
1.3,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.0105146805249024
1.3,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.0105146805249024,0.0599889464986572
1.3,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0599889464986572,0.103198927314431
1.3,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.103198927314431,0.138598969657282
1.3,"50% subclinical","Mean incubation 4.5d","missed: had both",0.138598969657282,0.140791957405451
1.3,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.140791957405451,0.156386536947986
1.3,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.156386536947986,0.260393676228372
1.3,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.260393676228372,1
1.4,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.0132135289256228
1.4,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.0132135289256228,0.0625528524793416
1.4,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0625528524793416,0.109526756212219
1.4,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.109526756212219,0.144677015835421
1.4,"50% subclinical","Mean incubation 4.5d","missed: had both",0.144677015835421,0.147061029746676
1.4,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.147061029746676,0.164014017560045
1.4,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.164014017560045,0.267080782518395
1.4,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.267080782518395,1
1.5,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.0162730060028669
1.5,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.0162730060028669,0.0654593557027236
1.5,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0654593557027236,0.116161879910681
1.5,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.116161879910681,0.151050226756312
1.5,"50% subclinical","Mean incubation 4.5d","missed: had both",0.151050226756312,0.153623475165362
1.5,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.153623475165362,0.17192213051861
1.5,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.17192213051861,0.274013922646452
1.5,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.274013922646452,1
1.6,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.0196921138008569
1.6,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.0196921138008569,0.0687075081108141
1.6,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0687075081108141,0.12308173151585
1.6,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.12308173151585,0.157696926324435
1.6,"50% subclinical","Mean incubation 4.5d","missed: had both",0.157696926324435,0.160456520369427
1.6,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.160456520369427,0.180080300244929
1.6,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.180080300244929,0.281166290625691
1.6,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.281166290625691,1
1.7,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.0234656645273364
1.7,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.0234656645273364,0.0722923813009696
1.7,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0722923813009696,0.130262346470716
1.7,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.130262346470716,0.164594095952135
1.7,"50% subclinical","Mean incubation 4.5d","missed: had both",0.164594095952135,0.167536180650599
1.7,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.167536180650599,0.18845767183968
1.7,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.18845767183968,0.288510835585473
1.7,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.288510835585473,1
1.8,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.0275847205304016
1.8,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.0275847205304016,0.0762054845038815
1.8,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0762054845038815,0.137678730131426
1.8,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.137678730131426,0.171717727626238
1.8,"50% subclinical","Mean incubation 4.5d","missed: had both",0.171717727626238,0.174837610393049
1.8,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.174837610393049,0.197023443401487
1.8,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.197023443401487,0.296020553119111
1.8,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.296020553119111,1
1.9,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.032037050029556
1.9,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.032037050029556,0.0804351975280782
1.9,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0804351975280782,0.145305200411979
1.9,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.145305200411979,0.179043153027296
1.9,"50% subclinical","Mean incubation 4.5d","missed: had both",0.179043153027296,0.18233542760975
1.9,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.18233542760975,0.205747157973864
1.9,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.205747157973864,0.303668741237361
1.9,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.303668741237361,1
2,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.036807584508279
2,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.036807584508279,0.0849672052828651
2,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0849672052828651,0.153115702645847
2,"50% subclinical","Mean incubation 4.5d","detected: arrival risk screen",0.153115702645847,0.186545345962458
2,"50% subclinical","Mean incubation 4.5d","missed: had both",0.186545345962458,0.190004010302308
2,"50% subclinical","Mean incubation 4.5d","missed: had fever",0.190004010302308,0.214598956719024
2,"50% subclinical","Mean incubation 4.5d","missed: had risk awareness",0.214598956719024,0.311429222329007
2,"50% subclinical","Mean incubation 4.5d","missed: undetectable",0.311429222329007,1
2.1,"50% subclinical","Mean incubation 4.5d","detected: departure fever screen",0,0.0418788669225423
2.1,"50% subclinical","Mean incubation 4.5d","detected: departure risk screen",0.0418788669225423,0.0897849235764152
2.1,"50% subclinical","Mean incubation 4.5d","detected: arrival fever screen",0.0897849235764152,0.161084095033736
