"scenario","strategy","name","value","outcome"
"5% subclinical","arrival","d.fever",0,"detected: departure fever screen"
"5% subclinical","arrival","d.risk",0,"detected: departure risk screen"
"5% subclinical","arrival","a.fever",0.233309626171308,"detected: arrival fever screen"
"5% subclinical","arrival","a.risk",0.0258856435893742,"detected: arrival risk screen"
"5% subclinical","arrival","m.b",0.0149163507356079,"missed: had both"
"5% subclinical","arrival","m.f",0.0600012899554362,"missed: had fever"
"5% subclinical","arrival","m.r",0.13161309972038,"missed: had risk awareness"
"5% subclinical","arrival","nd",0.534273989827894,"missed: undetectable"
"5% subclinical","both","d.fever",0.16908873772127,"detected: departure fever screen"
"5% subclinical","both","d.risk",0.0280292300730663,"detected: departure risk screen"
"5% subclinical","both","a.fever",0.100869494720078,"detected: arrival fever screen"
"5% subclinical","both","a.risk",0.0202887886614747,"detected: arrival risk screen"
"5% subclinical","both","m.b",0.00607212298911829,"missed: had both"
"5% subclinical","both","m.f",0.0287982543515205,"missed: had fever"
"5% subclinical","both","m.r",0.11258743985638,"missed: had risk awareness"
"5% subclinical","both","nd",0.534265931627091,"missed: undetectable"
"5% subclinical","departure","d.fever",0.16675782570845,"detected: departure fever screen"
"5% subclinical","departure","d.risk",0.0282305438642915,"detected: departure risk screen"
"5% subclinical","departure","a.fever",0,"detected: arrival fever screen"
"5% subclinical","departure","a.risk",0,"detected: arrival risk screen"
"5% subclinical","departure","m.b",0.0106491297238863,"missed: had both"
"5% subclinical","departure","m.f",0.0433552881048384,"missed: had fever"
"5% subclinical","departure","m.r",0.148979753528497,"missed: had risk awareness"
"5% subclinical","departure","nd",0.602027459070037,"missed: undetectable"
"25% subclinical","arrival","d.fever",0,"detected: departure fever screen"
"25% subclinical","arrival","d.risk",0,"detected: departure risk screen"
"25% subclinical","arrival","a.fever",0.182917561898414,"detected: arrival fever screen"
"25% subclinical","arrival","a.risk",0.0276465937013419,"detected: arrival risk screen"
"25% subclinical","arrival","m.b",0.011636586673826,"missed: had both"
"25% subclinical","arrival","m.f",0.0472084960033455,"missed: had fever"
"25% subclinical","arrival","m.r",0.144810617487938,"missed: had risk awareness"
"25% subclinical","arrival","nd",0.585780144235134,"missed: undetectable"
"25% subclinical","both","d.fever",0.132583120524609,"detected: departure fever screen"
"25% subclinical","both","d.risk",0.0293143669589625,"detected: departure risk screen"
"25% subclinical","both","a.fever",0.0791888735787973,"detected: arrival fever screen"
"25% subclinical","both","a.risk",0.0219830667454277,"detected: arrival risk screen"
"25% subclinical","both","m.b",0.00473453203911365,"missed: had both"
"25% subclinical","both","m.f",0.0225373963067041,"missed: had fever"
"25% subclinical","both","m.r",0.123757516862558,"missed: had risk awareness"
"25% subclinical","both","nd",0.585901126983828,"missed: undetectable"
"25% subclinical","departure","d.fever",0.132537951031006,"detected: departure fever screen"
"25% subclinical","departure","d.risk",0.0292840279176024,"detected: departure risk screen"
"25% subclinical","departure","a.fever",0,"detected: arrival fever screen"
"25% subclinical","departure","a.risk",0,"detected: arrival risk screen"
"25% subclinical","departure","m.b",0.00842493231297174,"missed: had both"
"25% subclinical","departure","m.f",0.0341872314095312,"missed: had fever"
"25% subclinical","departure","m.r",0.157628016653365,"missed: had risk awareness"
"25% subclinical","departure","nd",0.637937840675523,"missed: undetectable"
"50% subclinical","arrival","d.fever",0,"detected: departure fever screen"
"50% subclinical","arrival","d.risk",0,"detected: departure risk screen"
"50% subclinical","arrival","a.fever",0.122008314347995,"detected: arrival fever screen"
"50% subclinical","arrival","a.risk",0.0296543452319101,"detected: arrival risk screen"
"50% subclinical","arrival","m.b",0.00777731005940474,"missed: had both"
"50% subclinical","arrival","m.f",0.0312736670686553,"missed: had fever"
"50% subclinical","arrival","m.r",0.160163873148475,"missed: had risk awareness"
"50% subclinical","arrival","nd",0.64912249014356,"missed: undetectable"
"50% subclinical","both","d.fever",0.0884487516600505,"detected: departure fever screen"
"50% subclinical","both","d.risk",0.0307824463578922,"detected: departure risk screen"
"50% subclinical","both","a.fever",0.0529755958283943,"detected: arrival fever screen"
"50% subclinical","both","a.risk",0.0239478154498263,"detected: arrival risk screen"
"50% subclinical","both","m.b",0.00317481780608901,"missed: had both"
"50% subclinical","both","m.f",0.0150321551605545,"missed: had fever"
"50% subclinical","both","m.r",0.136852138970459,"missed: had risk awareness"
"50% subclinical","both","nd",0.648786278766734,"missed: undetectable"
"50% subclinical","departure","d.fever",0.0887926963272693,"detected: departure fever screen"
"50% subclinical","departure","d.risk",0.0307824773974029,"detected: departure risk screen"
"50% subclinical","departure","a.fever",0,"detected: arrival fever screen"
"50% subclinical","departure","a.risk",0,"detected: arrival risk screen"
"50% subclinical","departure","m.b",0.00569990993792555,"missed: had both"
"50% subclinical","departure","m.f",0.0229708028253153,"missed: had fever"
"50% subclinical","departure","m.r",0.168580954445929,"missed: had risk awareness"
"50% subclinical","departure","nd",0.683173159066158,"missed: undetectable"
