"strategy","scenario","nthTraveller","frac"
"both","5% subclinical","1",0.508
"both","5% subclinical","2",0.271
"both","5% subclinical","3",0.129
"both","5% subclinical","4",0.063
"both","5% subclinical","5",0.031
"both","5% subclinical","6+",0.044
"both","25% subclinical","1",0.432
"both","25% subclinical","2",0.192
"both","25% subclinical","3",0.089
"both","25% subclinical","4",0.041
"both","25% subclinical","5",0.02
"both","25% subclinical","6+",0.033
"both","50% subclinical","1",0.275
"both","50% subclinical","2",0.102
"both","50% subclinical","3",0.035
"both","50% subclinical","4",0.009
"both","50% subclinical","5",0.003
"both","50% subclinical","6+",0
"arrival","5% subclinical","1",0.407
"arrival","5% subclinical","2",0.203
"arrival","5% subclinical","3",0.101
"arrival","5% subclinical","4",0.043
"arrival","5% subclinical","5",0.029
"arrival","5% subclinical","6+",0.026
"arrival","25% subclinical","1",0.356
"arrival","25% subclinical","2",0.122
"arrival","25% subclinical","3",0.044
"arrival","25% subclinical","4",0.016
"arrival","25% subclinical","5",0.002
"arrival","25% subclinical","6+",0.003
"arrival","50% subclinical","1",0.25
"arrival","50% subclinical","2",0.059
"arrival","50% subclinical","3",0.014
"arrival","50% subclinical","4",0.004
"arrival","50% subclinical","5",0
"arrival","50% subclinical","6+",0
"departure","5% subclinical","1",0.359
"departure","5% subclinical","2",0.136
"departure","5% subclinical","3",0.061
"departure","5% subclinical","4",0.025
"departure","5% subclinical","5",0.006
"departure","5% subclinical","6+",0.002
"departure","25% subclinical","1",0.286
"departure","25% subclinical","2",0.077
"departure","25% subclinical","3",0.024
"departure","25% subclinical","4",0.01
"departure","25% subclinical","5",0.005
"departure","25% subclinical","6+",0.004
"departure","50% subclinical","1",0.214
"departure","50% subclinical","2",0.041
"departure","50% subclinical","3",0.006
"departure","50% subclinical","4",0.001
"departure","50% subclinical","5",0
"departure","50% subclinical","6+",0
